id;task_id;project_id;requester_id;status;proposed_name;proposed_description;proposed_pic;proposed_phase;proposed_start_date;proposed_end_date;proposed_progress;proposed_status;proposed_monev;proposed_wbs_number;is_new_task;is_delete_request;admin_note;reviewed_by;reviewed_at;created_at;updated_at;proposed_deliverable_result;proposed_problem
10e44a2c-7bf9-4570-8519-3e3485520541;;7ccef8d8-f13b-4e9b-911f-859e8622f049;0d7684e4-a7e3-48f2-a06f-1a5963e0a324;approved;Mengubah metode dari INA-CBGs ke iDRG;;Hariri;execution;2025-10-20;2025-11-10;100;completed;;1;true;false;;9cdd2ef8-9811-4ba9-9d19-12e599da16df;2026-02-04 01:03:50.074+00;2026-02-04 01:03:31.830689+00;2026-02-04 01:03:49.543351+00;;
23a667fa-5bdb-4570-bafb-f42909bfa4be;;efb258e2-81b3-4c8b-95ae-c976879891b4;0d7684e4-a7e3-48f2-a06f-1a5963e0a324;approved;Assessment Jaringan;Assessment Device infrastruktur jaringan RSCM;Biznet;planning;2025-10-29;2025-11-12;100;completed;;1.1;true;false;;9cdd2ef8-9811-4ba9-9d19-12e599da16df;2026-02-04 01:24:00.568+00;2026-02-04 01:23:48.211902+00;2026-02-04 01:24:00.090129+00;;
574d7bf2-c3b4-4784-97b9-1da7f6b5d486;;efb258e2-81b3-4c8b-95ae-c976879891b4;0d7684e4-a7e3-48f2-a06f-1a5963e0a324;approved;Beauty Contest;Beauty Contest antara Mandiri, BSI, BNI, dan BTN;Salman;planning;2025-12-15;2026-02-28;50;in_progress;;1.2;true;false;;9cdd2ef8-9811-4ba9-9d19-12e599da16df;2026-02-04 01:26:25.038+00;2026-02-04 01:26:13.334411+00;2026-02-04 01:26:24.576543+00;;
e4c06407-a32c-4d40-82d8-4a0a93cabec8;c8221f4f-a696-46b3-90b0-add380009f76;d7f3bbc8-1f54-4709-a29a-6427c1f5a8d0;3d2d7772-2bc6-424c-aada-e31e8edef8d0;approved;;;;;;;100;completed;;1.2;false;false;;9cdd2ef8-9811-4ba9-9d19-12e599da16df;2026-02-04 04:09:53.531+00;2026-02-04 04:08:36.453824+00;2026-02-04 04:09:53.127772+00;;
5e6480ec-c375-435a-b0fc-0a632c55e7fb;55a1df81-6c21-4d5a-b52a-cb41780c142e;d7f3bbc8-1f54-4709-a29a-6427c1f5a8d0;3d2d7772-2bc6-424c-aada-e31e8edef8d0;approved;;;;;;;100;;;1.1;false;false;;9cdd2ef8-9811-4ba9-9d19-12e599da16df;2026-02-04 04:09:59.575+00;2026-02-04 04:08:07.355133+00;2026-02-04 04:09:59.026275+00;;
789d715f-0784-4dc3-b15f-da018db07762;4b0380b5-275b-4065-90c3-2744bf805abb;d7f3bbc8-1f54-4709-a29a-6427c1f5a8d0;3d2d7772-2bc6-424c-aada-e31e8edef8d0;approved;;;;;;;80;in_progress;;2.1;false;false;;9cdd2ef8-9811-4ba9-9d19-12e599da16df;2026-02-04 04:11:16.951+00;2026-02-04 04:10:47.46939+00;2026-02-04 04:11:16.539558+00;;
