id;name;description;created_at;updated_at
5221c1f7-7981-465c-a3ba-b254dd7e03f9;YanMed;Layanan Medis;2026-01-28 04:28:19.147972+00;2026-01-28 04:28:19.147972+00
a3da2795-c1b5-45b0-9b1c-492287018c43;IPKJ;Instalasi Pelayanan Klaim Jaminan;2026-01-28 04:28:48.855819+00;2026-01-28 04:28:48.855819+00
fe1703f6-fb4c-4453-8779-4966d848a3aa;IPSTI;Instalasi Pengelolaan Sistem Teknologi Informasi;2026-01-28 04:30:08.139173+00;2026-01-28 04:30:08.139173+00
c2c930e8-e76c-4483-808b-b4b73bbe7d45;Kencana;Kencana;2026-01-28 04:30:23.939594+00;2026-01-28 04:30:23.939594+00
abb481df-df7a-44ff-bf4b-803c13a96227;HTO;Hospital Transformation Office;2026-01-28 04:30:36.553862+00;2026-01-28 04:30:36.553862+00
6e724cb8-fca2-4c43-b503-b3a08dbdce0f;Tim Paliatif;;2026-01-29 02:43:42.731361+00;2026-01-29 02:43:42.731361+00
