id;project_id;uploaded_by;document_name;document_url;category;description;created_at;updated_at
e0f46f5e-5731-46a9-bfcf-b7c6259a020a;47b80538-4a09-4399-a492-57513cef8d91;44366c00-c707-46e9-bc25-a6e0009a77b0;Notulensi Rapat with IPKJ;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/project-attachments/47b80538-4a09-4399-a492-57513cef8d91/1776649235520-20260416114817Notulen%20Rapat%20Pembillingan%20Ulang%20USG.pdf;support;;2026-04-20 01:40:37.032077+00;2026-04-20 01:40:37.032077+00
4c29ff2d-ca04-4cfb-80ca-70d72b31dc01;424aaa37-81ae-445c-b401-2a18c1a6a409;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Komponen gamma knife;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/project-attachments/424aaa37-81ae-445c-b401-2a18c1a6a409/1779342911462-IMG_1013.png;support;;2026-05-21 05:55:12.821272+00;2026-05-21 05:55:12.821272+00
de32b196-569b-412a-b766-1d7a419a5aa7;424aaa37-81ae-445c-b401-2a18c1a6a409;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Komponen whole body scan;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/project-attachments/424aaa37-81ae-445c-b401-2a18c1a6a409/1779342997097-IMG_1014.png;support;;2026-05-21 05:56:38.276497+00;2026-05-21 05:56:38.276497+00
a7f8a46f-4b29-42ef-b9e0-fcc47d563198;84e01752-cfe1-4125-8aea-9c9990c9db7d;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;Notulensi;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/project-attachments/84e01752-cfe1-4125-8aea-9c9990c9db7d/1782268075600-Notulen-Rapat-2026-06-23.docx;other;;2026-06-24 02:27:55.618581+00;2026-06-24 02:27:55.618581+00
e1bab315-b9b3-48b8-bedf-33b02b29dd73;d1f96095-29c0-4af8-aea9-64cdf871d046;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;To Do List;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/project-attachments/d1f96095-29c0-4af8-aea9-64cdf871d046/1782268136229-Daftar%20Dokumen%20HCT_18062026.xlsx;other;;2026-06-24 02:28:55.994426+00;2026-06-24 02:28:55.994426+00
d63673f8-2966-470e-b9a2-e777f6fd5b39;d1f96095-29c0-4af8-aea9-64cdf871d046;f33e6211-8ffc-4be9-9e4b-848ce613bdc0;File HCT;https://ycbpxbqbzbyhuqqrnczp.supabase.co/storage/v1/object/public/project-attachments/d1f96095-29c0-4af8-aea9-64cdf871d046/1782268195383-HCT_JCI%208th%20Edition.pdf;other;;2026-06-24 02:29:55.38603+00;2026-06-24 02:29:55.38603+00
