id;name;description;created_at;updated_at
a5e5d868-32bd-40aa-b911-556b9d268749;TDABC;Time-Driven Activity-Based Costing;2026-01-19 07:43:37.282185+00;2026-01-19 07:43:37.282185+00
1e1ec17d-6a55-4dd4-a4df-50b16a604568;Remunerasi;Sistem Remunerasi;2026-01-19 07:43:37.282185+00;2026-01-19 07:43:37.282185+00
58a77cef-a368-4bca-8b68-6e783dd37904;HISFS;Hospital Information System Finger Scan;2026-01-19 07:43:37.282185+00;2026-01-28 04:27:11.015153+00
d8e3c3c6-3cb7-49ba-96ab-bb7738b1a49a;HTP;Hospital Transformation Program;2026-02-04 03:45:49.5369+00;2026-02-04 03:45:49.5369+00
bf1f7ea0-4fbd-4cc7-9184-38416d432e07;Tarif RSCM;;2026-05-04 02:55:33.535361+00;2026-05-04 02:55:33.535361+00
4fb2f454-3bb5-423e-bd9c-c209ca859750;IKMKB Rawat Inap;;2026-05-20 06:45:07.300386+00;2026-05-20 06:45:07.300386+00
d01b1cda-e120-4209-a38d-22f483ee3147;JCI;;2026-06-24 01:46:08.463575+00;2026-06-24 01:46:08.463575+00
